root	infinitive	preverb	elsewhere_vi	before_d_vi	causative	d_surface	formal_present_source	formal_past_source	source
آرا	آراستن		آرا	آراس		ت	آرا	آراست	shekar
آزار	آزردن		آزار	آزر		د	آزار	آزرد	shekar
آزما	آزمودن		آزما	آزمو		د	آزما	آزمود	shekar
آسا	آسودن		آسا	آسو		د	آسا	آسود	shekar
آشام	آشامیدن		آشام	آشامی		د	آشام	آشامید	shekar
آشوب	آشفتن		آشوب	آشف		ت	آشوب	آشفت	shekar
آمیز	آغشتن		آمیز	آغش		ت	آمیز	آغشت	shekar
آفرین	آفریدن		آفرین	آفری		د	آفرین	آفرید	shekar
آلا	آلودن		آلا	آلو		د	آلا	آلود	shekar
آی	آمدن		آ	آم		د	آ	آمد	shekar
آموز	آموختن		آموز	آموخ		ت	آموز	آموخت	shekar
آمیز	آمیختن		آمیز	آمیخ		ت	آمیز	آمیخت	shekar
آر	آوردن		آر	آور		د	آر	آورد	shekar
آویز	آویختن		آویز	آویخ		ت	آویز	آویخت	shekar
افت	افتادن		افت	افتا		د	افت	افتاد	shekar
افرا	افراختن		افرا	افراخ		ت	افرا	افراخت	shekar
افرا	افراشتن		افرا	افراش		ت	افرا	افراشت	shekar
افروز	افروختن		افروز	افروخ		ت	افروز	افروخت	shekar
افزا	افزودن		افزا	افزو		د	افزا	افزود	shekar
افشا	افشاندن		افشا	افشان		د	افشا	افشاند	shekar
افشان	افشاندن		افشان	افشان		د	افشان	افشاند	shekar
افکن	افکندن		افکن	افکن		د	افکن	افکند	shekar
انبار	انباشتن		انبار	انباش		ت	انبار	انباشت	shekar
انداز	انداختن		انداز	انداخ		ت	انداز	انداخت	shekar
اندوز	اندوختن		اندوز	اندوخ		ت	اندوز	اندوخت	shekar
اندیش	اندیشیدن		اندیش	اندیشی		د	اندیش	اندیشید	shekar
انگار	انگاشتن		انگار	انگاش		ت	انگار	انگاشت	shekar
انگیز	انگیختن		انگیز	انگیخ		ت	انگیز	انگیخت	shekar
ایست	ایستادن		ایست	ایستا		د	ایست	ایستاد	shekar
باز	باختن		باز	باخ		ت	باز	باخت	shekar
بار	باریدن		بار	باری		د	بار	بارید	shekar
آفرین	بازآفریدن	باز	آفرین	آفری		د	بازآفرین	بازآفرید	shekar
آی	بازآمدن	باز	آ	آم		د	بازآ	بازآمد	shekar
آور	بازآوردن	باز	آور	آور		د	بازآور	بازآورد	shekar
دار	بازداشتن	باز	دار	داش		ت	بازدار	بازداشت	shekar
فرست	بازفرستادن	باز	فرست	فرستا		د	بازفرست	بازفرستاد	shekar
مان	بازماندن	باز	مان	مان		د	بازمان	بازماند	shekar
گرد	بازگرداندن	باز	گرد	گرد	ان	د	بازگردان	بازگرداند	shekar
گیر	بازگرفتن	باز	گیر	گرف		ت	بازگیر	بازگرفت	shekar
گرد	بازگشتن	باز	گرد	گش		ت	بازگرد	بازگشت	shekar
گشا	بازگشودن	باز	گشا	گشو		د	بازگشا	بازگشود	shekar
یاب	بازیافتن	باز	یاب	یاف		ت	بازیاب	بازیافت	shekar
باف	بافتن		باف	باف		ت	باف	بافت	shekar
بال	بالیدن		بال	بالی		د	بال	بالید	shekar
بخشا	بخشودن		بخشا	بخشو		د	بخشا	بخشود	shekar
بخش	بخشیدن		بخش	بخشی		د	بخش	بخشید	shekar
آشوب	برآشفتن	بر	آشوب	آشف		ت	برآشوب	برآشفت	shekar
آی	برآمدن	بر	آ	آم		د	برآ	برآمد	shekar
آر	برآوردن	بر	آر	آور		د	برآر	برآورد	shekar
افت	برافتادن	بر	افت	افتا		د	برافت	برافتاد	shekar
انگیز	برانگیختن	بر	انگیز	انگیخ		ت	برانگیز	برانگیخت	shekar
خیز	برخاستن	بر	خیز	خاس		ت	برخیز	برخاست	shekar
دار	برداشتن	بر	دار	داش		ت	بردار	برداشت	shekar
بر	بردن		بر	بر		د	بر	برد	shekar
چین	برچیدن	بر	چین	چی		د	برچین	برچید	shekar
گرد	برگرداندن	بر	گرد	گرد	ان	د	برگردان	برگرداند	shekar
گیر	برگرفتن	بر	گیر	گرف		ت	برگیر	برگرفت	shekar
گزین	برگزیدن	بر	گزین	گزی		د	برگزین	برگزید	shekar
گرد	برگشتن	بر	گرد	گش		ت	برگرد	برگشت	shekar
بر	بریدن		بر	بری		د	بر	برید	shekar
بند	بستن		بند	بس		ت	بند	بست	shekar
بلع	بلعیدن		بلع	بلعی		د	بلع	بلعید	shekar
بر	به‌دربردن	به‌در	بر	بر		د	به‌دربر	به‌دربرد	shekar
باش	بودن		باش	بو		د	باش	بود	shekar
بوس	بوسیدن		بوس	بوسی		د	بوس	بوسید	shekar
بو	بوییدن		بو	بویی		د	بو	بویید	shekar
بوی	بوییدن		بوی	بویی		د	بوی	بویید	shekar
تاب	تاباندن		تاب	تاب	ان	د	تابان	تاباند	shekar
تاب	تابیدن		تاب	تابی		د	تاب	تابید	shekar
تاز	تاختن		تاز	تاخ		ت	تاز	تاخت	shekar
تاز	تازاندن		تاز	تاز	ان	د	تازان	تازاند	shekar
تاب	تافتن		تاب	تاف		ت	تاب	تافت	shekar
تراش	تراشیدن		تراش	تراشی		د	تراش	تراشید	shekar
ترس	ترساندن		ترس	ترس	ان	د	ترسان	ترساند	shekar
ترس	ترسیدن		ترس	ترسی		د	ترس	ترسید	shekar
ترش	ترشیدن		ترش	ترشی		د	ترش	ترشید	shekar
ترک	ترکاندن		ترک	ترک	ان	د	ترکان	ترکاند	shekar
ترک	ترکیدن		ترک	ترکی		د	ترک	ترکید	shekar
تن	تنیدن		تن	تنی		د	تن	تنید	shekar
توان	توانستن		توان	توانس		ت	توان	توانست	shekar
توپ	توپیدن		توپ	توپی		د	توپ	توپید	shekar
تپ	تپاندن		تپ	تپ	ان	د	تپان	تپاند	shekar
تپ	تپیدن		تپ	تپی		د	تپ	تپید	shekar
تک	تکیدن		تک	تکی		د	تک	تکید	shekar
تیغ	تیغیدن		تیغ	تیغی		د	تیغ	تیغید	shekar
جه	جستن		جه	جس		ت	جه	جست	shekar
جو	جستن		جو	جس		ت	جو	جست	shekar
جنب	جنباندن		جنب	جنب	ان	د	جنبان	جنباند	shekar
جنب	جنبیدن		جنب	جنبی		د	جنب	جنبید	shekar
جنگ	جنگیدن		جنگ	جنگی		د	جنگ	جنگید	shekar
جه	جهیدن		جه	جهی		د	جه	جهید	shekar
جوش	جوشاندن		جوش	جوش	ان	د	جوشان	جوشاند	shekar
جوش	جوشیدن		جوش	جوشی		د	جوش	جوشید	shekar
جوی	جوییدن		جوی	جویی		د	جوی	جویید	shekar
خار	خاراندن		خار	خار	ان	د	خاران	خاراند	shekar
خار	خاریدن		خار	خاری		د	خار	خارید	shekar
